team,player,line,pos,num,handedness,gp,toi_pg,ppts,g,a1,a2,iXG,iFW,xg_perc,iOff,Off,Def,age,status,years_remaining,free_agency_type,cap_hit,full,info
TOR,Matthew Knies,scratch,F,23.0,L,3.0,13.111111111111112,1.0,0.0,1.0,0.0,0.6633152,5.0,0.6827450152089264,1.6633152,5.15311185,-2.45887832,20,NHL,3,RFA,925000,Toronto Maple Leafs,"Matthew Knies

GP: 3.0

TOI per game: 13.111111111111112

G: 0.0

A: 1.0

Primary PTS: 1.0

iXG: 0.6633152

iFW: 5.0

XG%: 0.6827450152089264"
CHI,Ian Mitchell,scratch,D,51.0,R,35.0,15.64857142857143,3.0,1.0,2.0,5.0,0.8792013200000001,33.0,0.3724401843516039,6.37920132,43.746914,-62.92611763,24,NHL,1,RFA,925000,Chicago Blackhawks,"Ian Mitchell

GP: 35.0

TOI per game: 15.64857142857143

G: 1.0

A: 7.0

Primary PTS: 3.0

iXG: 0.8792013200000001

iFW: 33.0

XG%: 0.3724401843516039"
NJD,Luke Hughes,scratch,D,43.0,L,2.0,16.233333333333334,1.0,1.0,0.0,1.0,0.3555156,2.0,0.6413999654552265,1.8555156,3.93788726,-2.8846875,19,NHL,3,RFA,925000,New Jersey Devils,"Luke Hughes

GP: 2.0

TOI per game: 16.233333333333334

G: 1.0

A: 1.0

Primary PTS: 1.0

iXG: 0.3555156

iFW: 2.0

XG%: 0.6413999654552265"
CBJ,Tim Berni,scratch,D,75.0,L,59.0,16.940112994350283,2.0,1.0,1.0,1.0,3.18486589,73.0,0.456097103129334,5.68486589,75.73814075,-112.37850506,23,NHL,1,RFA,925000,Columbus Blue Jackets,"Tim Berni

GP: 59.0

TOI per game: 16.940112994350283

G: 1.0

A: 2.0

Primary PTS: 2.0

iXG: 3.18486589

iFW: 73.0

XG%: 0.456097103129334"
LAK,Zack MacEwen,scratch,F,17.0,R,56.0,11.489285714285714,5.0,4.0,1.0,5.0,7.45822011,104.0,0.4374358081016196,14.95822011,41.24118907,-58.298407,26,NHL,1,RFA,925000,Los Angeles Kings,"Zack MacEwen

GP: 56.0

TOI per game: 11.489285714285714

G: 4.0

A: 6.0

Primary PTS: 5.0

iXG: 7.45822011

iFW: 104.0

XG%: 0.4374358081016196"
VGK,Pavel Dorofeyev,scratch,F,16.0,L,18.0,13.992592592592594,9.0,7.0,2.0,0.0,5.34627581,49.0,0.5089430249299465,14.34627581,30.58860666,-17.008875109999998,22,NHL,1,RFA,925000,Vegas Golden Knights,"Pavel Dorofeyev

GP: 18.0

TOI per game: 13.992592592592594

G: 7.0

A: 2.0

Primary PTS: 9.0

iXG: 5.34627581

iFW: 49.0

XG%: 0.5089430249299465"
DAL,Nils Lundkvist,scratch,D,5.0,R,60.0,16.197777777777777,11.0,6.0,5.0,5.0,4.09757501,129.0,0.5231117891436805,17.59757501,98.28263828,-83.68564812,22,NHL,2,RFA,925000,Dallas Stars,"Nils Lundkvist

GP: 60.0

TOI per game: 16.197777777777777

G: 6.0

A: 10.0

Primary PTS: 11.0

iXG: 4.09757501

iFW: 129.0

XG%: 0.5231117891436805"
OTT,Tyler Kleven,scratch,D,43.0,L,8.0,14.689583333333331,1.0,0.0,1.0,1.0,0.34351142,17.0,0.6136217356686321,1.84351142,11.57843444,-12.19542705,21,NHL,3,10.2(c),916667,Ottawa Senators,"Tyler Kleven

GP: 8.0

TOI per game: 14.689583333333331

G: 0.0

A: 2.0

Primary PTS: 1.0

iXG: 0.34351142

iFW: 17.0

XG%: 0.6136217356686321"
FLA,Michael Benning,scratch,D,44.0,R,,,,,,,,,,,,,21,NHL,3,10.2(c),916667,Florida Panthers,"Michael Benning

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
COL,Ben Meyers,scratch,F,59.0,L,39.0,9.441452991452993,4.0,4.0,0.0,0.0,6.80867967,48.0,0.5874541593406891,10.80867967,27.64500608,-28.42928118,24,Emerg. Loan,1,10.2(c),912500,Colorado Avalanche,"Ben Meyers

GP: 39.0

TOI per game: 9.441452991452993

G: 4.0

A: 0.0

Primary PTS: 4.0

iXG: 6.80867967

iFW: 48.0

XG%: 0.5874541593406891"
WPG,Logan Stanley,scratch,D,64.0,L,19.0,13.714035087719298,2.0,1.0,1.0,1.0,0.52123391,22.0,0.4800607470749944,3.02123391,19.49811832,-26.11527776,24,NHL,1,RFA,900000,Winnipeg Jets,"Logan Stanley

GP: 19.0

TOI per game: 13.714035087719298

G: 1.0

A: 2.0

Primary PTS: 2.0

iXG: 0.52123391

iFW: 22.0

XG%: 0.4800607470749944"
